change,coarse_best_delta_h_ratio,grid_convergence_claimed,pair_id,refined_best_delta_h_ratio
0.0,0.9999484529541762,False,water-OKKJLVBELUTLKV-UHFFFAOYSA-N,0.9999484529541762
0.0,0.9999373214246684,False,water-LFQSCWFLJHTTHZ-UHFFFAOYSA-N,0.9999373214246684
0.0,0.9999306397843613,False,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,0.9999306397843613
0.0,0.999927485820162,False,water-LRHPLDYGYMQRHN-UHFFFAOYSA-N,0.999927485820162
0.0,0.9999274384416359,False,water-ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,0.9999274384416359
0.0,0.9999271338616733,False,water-ZSIAUFGUXNUGDI-UHFFFAOYSA-N,0.9999271338616733
0.0,0.9999166073427891,False,water-NKDDWNXOKDWJAK-UHFFFAOYSA-N,0.9999166073427891
0.0,0.9999204772367378,False,water-AMIMRNSIRUDHCM-UHFFFAOYSA-N,0.9999204772367378
0.0,0.9999180374327452,False,water-WYURNTSHIVDZCO-UHFFFAOYSA-N,0.9999180374327452
0.0,0.9999227040781342,False,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,0.9999227040781342
0.0,0.9999201816367881,False,water-ZWEHNKRNPOVVGH-UHFFFAOYSA-N,0.9999201816367881
0.0,0.9999248788354304,False,water-SWXVUIWOUIDPGS-UHFFFAOYSA-N,0.9999248788354304
